id_municipio,ano,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,indice_consumo_agua_per_capita,extensao_rede_agua,extensao_rede_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,investimento_total_municipio,indice_saneamento_0_100,ranking_saneamento,prioridade_intervencao,investimento_norm_0_1,risco_saneamento_baixo_investimento
3538204,2022,42.79,36.21,64.45,98.59,19.34,171.6,72.64,42.42,4186.0,3437.0,0.0,56.055566093495536,612.0,32.0,0.0,0.43944433906504465
3541208,2022,74.29,70.75,92.65,100.0,16.88,170.3,50.74,42.44,4734.0,4470.0,0.0,81.34596825507887,397.0,247.0,0.0,0.1865403174492113
3542107,2022,100.0,100.0,65.17,5.03,24.65,175.5,47.08,47.08,3789.0,3467.0,1076719.71,67.27783615609283,556.0,88.0,0.04058190245494498,0.31394236182679003
3548500,2022,98.3,95.89,81.92,100.0,16.81,234.6,1415.74,551.68,68876.0,65460.0,0.0,91.9298625906761,145.0,499.0,0.0,0.08070137409323908
3548708,2022,98.27,91.83,74.35,42.93,29.61,163.6,2255.12,1428.78,199386.0,177479.0,0.0,74.73520305622742,483.0,161.0,0.0,0.25264796943772583
3555356,2022,100.0,100.0,70.0,100.0,19.22,170.1,21.0,21.0,2226.0,1988.0,369110.87,90.24273394906253,197.0,447.0,0.013911904075202522,0.09621523901600602
3556503,2022,87.31,85.46,93.88,100.0,30.74,140.1,302.14,226.77,34079.0,32823.0,0.0,87.37546322400154,281.0,363.0,0.0,0.12624536775998463
3503307,2022,98.23,98.23,100.0,100.0,46.52,210.2,1139.0,928.47,51830.0,50914.0,0.0,93.28071439371804,99.0,545.0,0.0,0.06719285606281955
3504206,2022,95.06,92.55,98.31,100.0,20.23,171.8,76.72,64.16,5866.0,5762.0,0.0,93.76556655478336,83.0,561.0,0.0,0.06234433445216636
3522604,2022,97.8,97.8,100.0,100.0,53.12,161.6,369.81,324.31,29229.0,27901.0,0.0,92.23116989218015,134.0,510.0,0.0,0.07768830107819857
3526407,2022,85.05,81.22,100.0,100.0,41.76,175.0,202.01,167.28,10350.0,9856.0,0.0,85.7825384740359,319.0,325.0,0.0,0.14217461525964092
3540606,2022,100.0,100.0,82.96,99.52,29.94,133.4,223.94,166.32,17277.0,16988.0,0.0,91.99298786193124,142.0,502.0,0.0,0.08007012138068759
